23-11-2019 23:27:26 INFO     [app.py:13] Loading books list...
23-11-2019 23:27:27 INFO     [all_books_page.py:25] Found number of catalogue pages available `Page 1 of 50`.
23-11-2019 23:27:59 INFO     [menu.py:18] Finding best book by rating...
23-11-2019 23:28:01 INFO     [menu.py:25] Finding best book by price...
30-11-2019 20:56:33 INFO     [app.py:17] Loading books list...
30-11-2019 20:56:33 INFO     [all_books_page.py:25] Found number of catalogue pages available `Page 1 of 50`.
30-11-2019 20:57:25 INFO     [app.py:17] Loading books list...
30-11-2019 20:57:26 INFO     [all_books_page.py:25] Found number of catalogue pages available `Page 1 of 50`.
30-11-2019 20:57:43 INFO     [app.py:17] Loading books list...
30-11-2019 20:57:43 INFO     [all_books_page.py:25] Found number of catalogue pages available `Page 1 of 50`.
30-11-2019 20:58:02 INFO     [app.py:17] Loading books list...
30-11-2019 20:58:02 INFO     [all_books_page.py:25] Found number of catalogue pages available `Page 1 of 50`.
30-11-2019 20:58:41 INFO     [app.py:17] Loading books list...
30-11-2019 20:58:41 INFO     [all_books_page.py:25] Found number of catalogue pages available `Page 1 of 50`.
30-11-2019 20:58:55 INFO     [app.py:17] Loading books list...
30-11-2019 20:58:56 INFO     [all_books_page.py:25] Found number of catalogue pages available `Page 1 of 50`.
30-11-2019 20:59:14 INFO     [app.py:17] Loading books list...
30-11-2019 20:59:14 INFO     [all_books_page.py:25] Found number of catalogue pages available `Page 1 of 50`.
30-11-2019 20:59:47 INFO     [app.py:17] Loading books list...
30-11-2019 20:59:48 INFO     [all_books_page.py:25] Found number of catalogue pages available `Page 1 of 50`.
30-11-2019 21:00:02 INFO     [app.py:17] Loading books list...
30-11-2019 21:00:10 INFO     [menu.py:18] Finding best book by rating...
